"","x","y","weight","sd","CIlow","CIhigh","means"
"1",1,995,9396,663.003749833236,980,1008,1105.72679863772
"2",2,925,9215,663.157503223292,911,940,1040.36907216495
"3",3,876,9488,678.858593373818,862,888,990.415472175379
"4",4,824,9174,659.076255342364,811,835,947.792892958361
"5",5,795,8663,634.084143525365,784,809,943.237908345839
"6",6,772,8162,622.212071047005,758,786,929.875030629748
"7",7,729,8053,610.90769833487,713,742,896.529367937415
"8",8,683,7885,603.095371859232,672,695,857.009638554217
"9",9,636.5,7674,596.045332692403,626,650,810.516679697681
"10",10,585,7385,587.729754854077,575,596,773.964793500338
"11",11,560,6995,572.747991391996,549,582,751.710793423874
"12",12,527,6847,563.642816857486,505,552,724.550460055499
"13",13,525,6456,565.041851265841,503,576,711.811957868649
"14",14,536,5993,555.812084369892,506,558,685.579676289004
"15",15,520,5681,548.47476870888,500,532,673.754444640028
"16",16,493,5355,535.835398562864,478,504,648.350513538749
"17",17,566,4995,517.821708621101,539,591,654.021621621622
"18",18,576,4630,495.64701149668,558,596,638.248596112311
"19",19,548,3955,489.861856053129,533,560,638.539064475348
"20",20,609,3528,477.539480297855,588,628,666.571145124717
"21",21,596,3367,448.847519389552,577,679,661.308286308286
"22",22,635,3154,427.796097053523,596,649,638.383322764743
"23",23,575,3008,427.546200100954,493,589,595.442154255319
"24",24,558,2827,403.458785265975,546,568,602.961089494163
"25",25,509,2546,395.084688401188,498,538,565.256480754124
"26",26,468,2391,392.272856599859,449,500,543.496445002091
"27",27,453,2239,369.828468528821,434,465,509.545332737829
"28",28,431.5,2090,357.322324852459,421,443,503.292344497608
"29",29,388,1969,340.394471702643,378,398,480.059421025901
"30",30,345,1851,334.110043842548,331,362,447.385737439222
"31",31,403,1667,320.954417463535,372,415,440.321535692861
"32",32,325.5,1588,323.457193444478,250,344,385.581863979849
"33",33,294,1440,304.182938903,279,304,350.983333333333
"34",34,276,1230,304.086464672767,261,291,361.246341463415
"35",35,279,1052,292.583711053917,241,295,352.589353612167
"36",36,258.5,866,266.474603204832,248,267,350.038106235566
"37",37,205,801,273.557384342097,195,212,321.483146067416
"38",38,157,679,258.241392569657,148,169,285.916053019146
"39",39,145,553,245.808375839672,125,296,298.365280289331
"40",40,249,511,227.513291398417,227,264,260.375733855186
"41",41,404,352,177.394908626428,294,419,362.903409090909
"42",42,368,307,155.902223490442,350,382,343.648208469055
"43",43,310,289,150.169315884754,296,326,285.193771626298
"44",44,268.5,248,143.203742006156,251,299,248.504032258065
"45",45,231,227,125.869593837591,197,245,214.823788546256
"46",46,211,163,80.6427542061479,198,225,223.926380368098
"47",47,138,181,77.266229141494,125,157,155.718232044199
"48",48,93,136,69.9051080289581,87,104,114.095588235294
"49",49,109,105,55.6958594024615,41,117,81.6761904761905
"50",50,74,52,15.3077406261317,66,81,74.7115384615385
"51",51,22,42,12.0715058859863,17,28,22.2857142857143
