"","x","y","weight","sd","CIlow","CIhigh","means"
"1",1,1929,3537,1114.44375236341,1895,1953,2098.17896522477
"2",2,1835,3637,1086.77957890546,1801,1858,1992.27797635414
"3",3,1791,3727,1084.15261500449,1761,1813,1942.59806815133
"4",4,1689,3603,1091.57973359826,1658,1735,1868.79933388843
"5",5,1650.5,3674,1068.44913307174,1612,1681,1813.47985846489
"6",6,1564,3671,1080.67634101493,1543,1607,1747.70907109779
"7",7,1565,3588,1087.7947750767,1532,1586,1726.19927536232
"8",8,1470,3637,1087.30658595791,1428,1498,1638.64118779214
"9",9,1451.5,3598,1090.65293287024,1415,1486,1614.90939410784
"10",10,1381,3649,1062.94944672301,1348,1406,1538.65908468073
"11",11,1309.5,3576,1063.99655848007,1275,1335,1486.06403803132
"12",12,1269,3515,1056.19572134697,1234,1304,1449.77553342817
"13",13,1213,3388,1063.56227751613,1185,1238,1416.52774498229
"14",14,1162,3435,1058.4952141787,1135,1246,1401.00902474527
"15",15,1204.5,3252,1047.2014205559,1128,1228,1403.34840098401
"16",16,1166,3137,1030.51163891593,1146,1176,1352.57156518967
"17",17,1103.5,3156,1031.24493911174,1086,1116,1312.72401774398
"18",18,1055,3072,1026.63595983105,1038,1066,1309.55403645833
"19",19,1003.5,2914,1001.35102710176,995,1017,1259.61050102951
"20",20,966,2863,990.880475895795,949,977,1253.61124694377
"21",21,900,2812,979.756515011643,887,911,1228.97688477952
"22",22,873,2612,981.430103332758,861,893,1253.53598774885
"23",23,804,2651,911.638389537138,790,815,1144.43115805356
"24",24,741,2510,956.059341748142,729,755,1114.66454183267
"25",25,705,2477,977.972560628397,689,736,1132.78683891805
"26",26,669,2552,959.048486098056,641,685,1075.85815047022
"27",27,579,2616,947.334009420066,566,609,984.951834862385
"28",28,517,2478,953.811056043488,507,534,938.084342211461
"29",29,503,2476,979.011381686568,482,516,939.968497576737
"30",30,467,2369,953.609206568038,450,483,918.599831152385
"31",31,432,1979,954.985188715103,420,468,952.697321879737
"32",32,503,1885,997.583982524859,395,531,1005.14323607427
"33",33,469,1839,967.584229044964,450,483,958.173463839043
"34",34,415,1693,984.335828744579,397,439,942.352037802717
"35",35,378.5,1570,965.904863407784,351,473,903.91974522293
"36",36,983.5,1434,962.592424301918,569,1014,999.209205020921
"37",37,995.5,1242,982.35691413621,960,1067,1099.40579710145
"38",38,1032,1149,915.602370285685,1005,1257,1184.14708442124
"39",39,1181.5,942,859.676045013062,962,1233,1188.05520169851
"40",40,1170,993,889.115357691317,1131,1224,1199.23464249748
"41",41,1180,908,794.75878121477,1157,1245,1285.8513215859
"42",42,1119.5,862,837.491335726828,1089,1183,1244.30858468678
"43",43,1134.5,800,771.375352336812,1113,1141,1244.115
"44",44,1080,851,794.38487281684,1071,1089,1250.58049353702
"45",45,1023,799,793.482689669779,1014,1032,1218.51814768461
"46",46,958,722,676.87981031742,946,964,1126.67590027701
"47",47,912,722,728.147602134588,900,921,1143.3351800554
"48",48,846,726,771.712931250192,840,857,1126.99586776859
"49",49,784.5,718,708.705820098343,775,791,975.292479108635
"50",50,726,743,748.178024983685,716,737,976.962314939435
"51",51,674,774,750.496665988743,665,682,935.34496124031
"52",52,607,727,720.211313246446,597,618,836.325997248968
"53",53,557.5,688,712.398826211844,550,566,846.853197674419
"54",54,506,633,703.388864721853,497,516,893.469194312796
"55",55,452,563,696.293693176421,445,461,854.017761989343
"56",56,388,561,681.960869302627,383,398,803.458110516934
"57",57,342,541,709.097417798905,329,819,821.014787430684
"58",58,271,515,649.09128409858,262,285,662.654368932039
"59",59,227,499,686.572173621061,218,701,699.763527054108
"60",60,644,495,699.353253523511,167,663,706.808080808081
"61",61,605,419,688.342763031669,587,629,717.72553699284
"62",62,572,374,706.868677929355,548,757,765.887700534759
"63",63,730,209,540.991579786667,708,1340,1062.995215311
"64",64,677,205,516.531738679828,664,1288,1018.63414634146
"65",65,615,232,505.672418385291,600,1225,951.948275862069
"66",66,553.5,250,504.67218832692,541,1166,872.68
"67",67,494,224,516.550704834907,480,1109,831.897321428571
"68",68,435,247,543.825306016562,422,1045,782.445344129555
"69",69,367,211,526.912317678499,353,981,683.440758293839
"70",70,309.5,228,521.666898548483,292,929,638.561403508772
"71",71,868,190,519.717364656591,249,889,665.905263157895
"72",72,820,195,448.706563787446,807,835,722.805128205128
"73",73,766,174,443.068893681936,746,778,663.086206896552
"74",74,707,180,428.429957255983,696,718,640.527777777778
"75",75,671,146,347.883663275962,658,1043,764.13698630137
"76",76,612.5,104,209.212184725199,604,985,771.403846153846
"77",77,925,119,212.250435236834,555,938,760.647058823529
"78",78,863,127,212.325777628434,494,872,696.047244094488
"79",79,800.5,114,213.936855424654,424,809,619.368421052632
"80",80,375.5,140,212.420308374863,366,751,553.85
"81",81,683.5,114,210.279377377396,313,695,529.228070175439
"82",82,250,129,210.844468790101,238,624,407.550387596899
"83",83,194,126,213.34560991462,187,573,376.325396825397
"84",84,501,117,212.705014226095,128,508,321.128205128205
"85",85,447,128,211.630899325246,440,458,296.015625
"86",86,395.5,90,155.834101822696,391,401,328.811111111111
"87",87,347,77,16.5432179089596,341,351,348.350649350649
"88",88,285,66,18.1083310940477,275,293,285.893939393939
"89",89,230,75,18.7193593483969,223,237,229.933333333333
"90",90,179,45,16.0802281505499,163,185,173.288888888889
"91",91,116.5,62,16.0948734000001,105,122,112.935483870968
"92",92,48.5,62,18.1911235261989,38,59,48.9677419354839
"93",93,11,17,5.38653004097749,7,14,10.5294117647059
