"","x","y","weight","sd","CIlow","CIhigh","means"
"1",1,1872,5158,879.091059441482,1830,1889,1833.28596355176
"2",2,1850,5250,896.614563501935,1826,1880,1827.19142857143
"3",3,1765,5194,883.968190557467,1747,1786,1732.13900654601
"4",4,1702,5281,889.844140084747,1676,1719,1666.59515243325
"5",5,1658,5429,884.839905940114,1637,1682,1613.00552587954
"6",6,1578,5239,859.932897147339,1545,1601,1569.20500095438
"7",7,1560.5,5000,848.248378645391,1544,1594,1556.5528
"8",8,1512,5046,837.943649981103,1489,1546,1507.99663099485
"9",9,1459,4893,828.434047966574,1434,1487,1475.11771919068
"10",10,1425,5020,806.212644551757,1399,1451,1436.40418326693
"11",11,1393,4681,788.182758122643,1362,1422,1415.6173894467
"12",12,1342,4627,781.879805380294,1313,1369,1377.66349686622
"13",13,1305,4576,782.825349600374,1271,1329,1328.70563811189
"14",14,1261,4470,755.180996930491,1243,1276,1312.14340044743
"15",15,1225,4306,725.20544580706,1209,1238,1295.78982814677
"16",16,1155,4323,725.966821834045,1141,1172,1243.79921350914
"17",17,1089,4277,707.19094156273,1075,1106,1180.99883095628
"18",18,1047,4365,681.564385916553,1034,1058,1152.18098510882
"19",19,1010,4033,679.921967487719,991,1042,1122.17555169849
"20",20,948,3966,674.452119063054,931,983,1073.47755925366
"21",21,925,4039,658.61662891602,900,953,1038.58529338945
"22",22,876,3819,651.570502586284,842,907,985.198481277821
"23",23,813,3913,646.930752511236,785,843,922.675951955022
"24",24,802,3619,633.039302910049,782,820,923.84332688588
"25",25,745,3640,623.205302549042,723,763,881.253021978022
"26",26,730,3421,607.864476748012,716,774,891.826951183864
"27",27,707,3261,583.715070327957,666,730,861.107022385771
"28",28,666,3202,583.845159874493,650,679,837.46908182386
"29",29,602,3142,575.123966741175,574,614,775.19318905156
"30",30,559,3015,575.497987826631,541,571,750.680928689884
"31",31,516,2825,562.52011184137,507,521,735.650265486726
"32",32,465,2652,549.664738220757,456,478,692.97322775264
"33",33,429,2473,540.300101523233,418,456,679.916295996765
"34",34,432,2437,535.391537946339,383,475,671.029134181371
"35",35,420,2271,530.686317554791,365,468,645.782474680757
"36",36,686,1990,501.494094949862,645,726,645.794472361809
"37",37,683,1850,499.433334703226,651,707,636.438918918919
"38",38,674.5,1668,476.098384992199,654,696,634.038369304556
"39",39,657,1548,468.036841653116,636,680,649.799095607235
"40",40,658,1314,408.686948613292,641,677,697.63698630137
"41",41,615,1185,353.223628833494,602,645,702.301265822785
"42",42,597,1168,343.725274131252,570,620,669.416095890411
"43",43,560,1094,313.018913195616,535,583,649.900365630713
"44",44,497.5,1080,305.896845277246,474,510,584.977777777778
"45",45,446,1079,324.727670481233,426,467,543.111214087118
"46",46,377.5,1166,317.295438423514,348,399,469.09948542024
"47",47,321,1040,317.120454310953,309,341,418.461538461538
"48",48,359,969,301.385169369261,295,384,394.665634674923
"49",49,309.5,900,287.463247114267,241,331,354.318888888889
"50",50,297,762,278.395866074494,281,324,360.691601049869
"51",51,333,673,258.178905980824,320,344,351.124814264487
"52",52,281,558,247.627490952179,269,294,329.492831541219
"53",53,248,449,228.442210071493,234,310,334.679287305123
"54",54,254,494,221.571298889496,191,277,307.755060728745
"55",55,221.5,386,205.510147778113,200,315,290.629533678757
"56",56,261,375,202.239660761748,164,274,263.464
"57",57,238,255,166.423231326861,222,318,270.501960784314
"58",58,185,239,169.540838081045,171,273,236.970711297071
"59",59,220.5,176,130.665669211119,206,234,241.255681818182
"60",60,177.5,182,130.220622442761,162,187,201.532967032967
"61",61,129.5,132,114.000213819394,114,266,175.068181818182
"62",62,73.5,122,92.6452341569915,65,209,137.032786885246
"63",63,160,89,64.5853494583548,155,170,140.269662921348
"64",64,113,57,15.5497826141837,106,121,113.754385964912
"65",65,50,67,16.376147285291,44,55,50.9402985074627
"66",66,11,19,6.05964505937551,5,15,9.94736842105263
