"","x","y","weight","sd","CIlow","CIhigh","means"
"1",1,1604.5,5684,1150.24882924521,1531,1639,1790.62649542576
"2",2,1574,5801,1173.00188763873,1522,1588,1759.62696086882
"3",3,1506,5678,1134.61334471673,1441,1528,1667.48538217682
"4",4,1437.5,5932,1156.39427994361,1362,1463,1621.86867835469
"5",5,1431,5522,1147.19780220594,1421,1445,1666.10304237595
"6",6,1358,5479,1135.51563829838,1346,1370,1586.17630954554
"7",7,1308,5553,1134.83148588474,1294,1320,1548.34539888349
"8",8,1238.5,5578,1112.82339780775,1227,1248,1454.63266403729
"9",9,1185,5544,1110.64191896243,1172,1197,1414.27453102453
"10",10,1125,5441,1106.08859029313,1113,1136,1370.43392758684
"11",11,1083,5199,1123.35744863982,1068,1093,1363.32179265243
"12",12,1031,5023,1091.90703241982,1018,1047,1307.48437188931
"13",13,988,4997,1105.64971501661,973,1016,1306.38262957775
"14",14,972,4830,1086.66595680503,942,1007,1302.95983436853
"15",15,949,4428,1071.63954854593,920,990,1287.65063233966
"16",16,933,4419,1067.25508646271,889,959,1265.32518669382
"17",17,978,4050,1050.46607976459,894,1008,1287.60098765432
"18",18,917.5,4122,1033.40920815862,844,944,1227.26128093159
"19",19,905,4001,1085.80464348124,884,929,1253.67958010497
"20",20,875,3887,1040.1659161652,834,1011,1203.30074607667
"21",21,1007,3471,1014.60588761075,970,1105,1269.67790262172
"22",22,1102,3289,1007.26931969542,1021,1212,1272.43447856491
"23",23,1065,3312,1007.18887282058,970,1156,1224.81853864734
"24",24,1017,3247,1000.64041065916,929,1112,1183.68278410841
"25",25,1069,3008,1002.13040888022,1044,1140,1198.9335106383
"26",26,998,3205,978.224859530293,977,1051,1121.04648985959
"27",27,1011,2975,966.443469532774,947,1099,1100.3512605042
"28",28,956,2911,963.458470753265,892,1045,1051.77327378908
"29",29,1023,2631,974.657520573514,1011,1040,1138.38464462182
"30",30,1022,2411,928.928663400578,985,1047,1162.17793446703
"31",31,980,2271,933.027335270773,962,1016,1167.87582562748
"32",32,949,2072,901.954501852981,916,1010,1138.22683397683
"33",33,937,2094,898.372840096703,886,1005,1124.64851957975
"34",34,962,2041,896.413962543715,902,975,1141.28760411563
"35",35,897.5,1940,875.422264283811,843,913,1102.93195876289
"36",36,857,1883,881.037147330561,841,869,1077.29845990441
"37",37,801.5,1770,868.95214646895,790,830,1046.71016949153
"38",38,754,1679,871.885969809084,742,859,1044.57534246575
"39",39,689.5,1728,880.229861690223,675,710,988.588541666667
"40",40,639,1633,877.091525315313,620,739,946.714023270055
"41",41,587,1689,809.558755474039,571,691,868.588513913558
"42",42,627,1633,839.361494611414,529,651,865.886099203919
"43",43,598,1473,854.082221180456,580,613,864.860828241684
"44",44,534,1433,844.721716776336,519,546,799.73482205164
"45",45,494,1520,865.372409419651,483,509,807.388815789474
"46",46,466,1331,862.528141329246,456,477,829.030052592036
"47",47,424,1217,866.385962255945,413,437,845.649958915366
"48",48,393,1096,895.431912993995,372,490,896.725364963504
"49",49,352.5,1014,882.241584567708,326,450,866.630177514793
"50",50,287.5,952,869.771710516504,268,389,787.807773109244
"51",51,365.5,874,906.253865685152,336,511,894.636155606407
"52",52,297,792,857.084899458975,268,450,777.819444444444
"53",53,398,738,878.380799584623,370,424,805.624661246613
"54",54,823,591,897.954673003595,807,844,994.243654822335
"55",55,1137.5,500,856.323423149261,818,1162,1221.524
"56",56,751,484,811.90904941313,728,1071,1047.26859504132
"57",57,1041,420,763.562987443629,1020,1058,1218.10238095238
"58",58,958,426,778.808554758793,634,979,1110.58920187793
"59",59,896.5,412,747.795357370645,573,917,1018.70631067961
"60",60,878,352,675.178601919351,861,1134,1132.90340909091
"61",61,1063,407,682.668206294434,811,1079,1121.46437346437
"62",62,1015,355,693.288431262039,752,1032,1128.17183098592
"63",63,947,371,692.8932544432,685,962,995.827493261456
"64",64,636,367,699.228391729568,616,893,940.267029972752
"65",65,571,365,693.89554749216,558,835,881.265753424658
"66",66,510,413,664.004578366151,496,765,769.997578692494
"67",67,703,365,669.956761665916,450,717,798.26301369863
"68",68,685.5,302,653.33985019886,667,695,932.983443708609
"69",69,626,266,568.358402031072,611,642,947.116541353383
"70",70,1315,249,546.943681758621,580,1325,992.269076305221
"71",71,521.5,258,595.765865747892,507,1268,893.488372093023
"72",72,461,238,576.494033676674,443,1200,835.021008403361
"73",73,1134,265,564.217774874451,394,1141,776.879245283019
"74",74,1085,204,552.51774371391,341,1100,816.995098039216
"75",75,1033.5,208,440.578234556118,1024,1048,923.947115384615
"76",76,975,164,465.150433777819,956,987,811.018292682927
