"","x","y","weight","sd","CIlow","CIhigh","means"
"1",1,309,11348,834.007643728117,273,335,683.94853718717
"2",2,963,6916,808.248155304344,941,988,1091.58415268942
"3",3,941,6701,796.215830992154,922,973,1084.81465452917
"4",4,926,6664,776.91739226751,900,949,1074.19327731092
"5",5,917,6116,766.967310785402,901,935,1068.48332243296
"6",6,906,5951,743.628618966307,885,928,1055.38682574357
"7",7,881,5649,733.315324279031,861,902,1048.44397238449
"8",8,830,5530,722.767996497267,809,848,1004.25623869801
"9",9,800,5478,706.941292267963,780,842,971.436108068638
"10",10,795,5157,690.976267686425,755,821,940.70137676944
"11",11,758,5078,679.624424486289,723,782,907.165813312328
"12",12,719.5,4992,672.159185642443,694,737,864.956330128205
"13",13,680.5,4946,699.776704395656,658,712,840.247472705216
"14",14,674,4539,669.94717600085,638,702,807.801498127341
"15",15,661,4361,673.120065564969,652,675,809.883512955744
"16",16,643,3968,665.22548503255,625,662,841.109375
"17",17,607,3753,638.461056493289,588,636,802.393285371703
"18",18,672.5,3558,636.527499382865,559,704,781.463743676223
"19",19,653,3454,624.020781398296,619,685,754.969021424435
"20",20,633,3281,604.273930052589,602,653,720.360865589759
"21",21,626,3053,602.64593684573,602,649,729.439567638388
"22",22,609,2866,588.995937246507,591,626,716.685973482205
"23",23,563.5,2632,568.223137653493,547,580,685.365501519757
"24",24,541,2489,577.647056387442,524,556,680.950582563278
"25",25,508,2375,577.176648621476,493,532,665.149473684211
"26",26,479,2247,577.437287514383,457,495,656.811303960837
"27",27,468,1916,565.020978732202,444,479,679.573068893528
"28",28,422,1779,559.795275362242,409,449,660.758291174817
"29",29,393,1770,542.520770524869,375,509,604.960451977401
"30",30,344,1646,541.877588888625,325,464,573.116646415553
"31",31,401,1607,512.665110083582,287,412,534.187927815806
"32",32,361.5,1448,537.903593378187,347,374,534.655386740331
"33",33,324,1236,529.52214296595,315,339,531.977346278317
"34",34,292,1148,536.62895391203,281,304,562.344947735192
"35",35,276.5,1078,505.654868313559,254,298,552.69387755102
"36",36,272.5,904,494.343291944947,245,418,566.469026548673
"37",37,362.5,898,504.747133696203,333,440,538.687082405345
"38",38,377.5,816,484.498526586848,309,402,507.104166666667
"39",39,712,573,462.690334350007,535,727,663.446771378709
"40",40,687.5,548,416.329150046481,659,854,684.063868613139
"41",41,799,474,377.86032546784,635,811,703.582278481013
"42",42,572,472,396.352733857339,547,734,615.648305084746
"43",43,670,427,376.809640207382,515,699,596.665105386417
"44",44,623,389,360.39042456236,600,640,568.6529562982
"45",45,608.5,384,305.821398798669,583,622,589.408854166667
"46",46,517,338,297.070876709555,504,534,497.573964497041
"47",47,493,381,297.82363375919,473,513,480.811023622047
"48",48,449,308,249.31654288684,425,460,483.529220779221
"49",49,396,276,246.946496981718,375,406,438.923913043478
"50",50,338,301,247.654609404402,315,354,388.823920265781
"51",51,294.5,292,242.302564646653,277,349,369.869863013699
"52",52,229.5,254,220.62636154858,214,283,341.236220472441
"53",53,223,253,216.888284782256,167,238,280.719367588933
"54",54,168.5,232,227.354183521857,110,186,245.120689655172
"55",55,124,170,206.409457255603,114,139,214.847058823529
"56",56,96,113,193.574001666973,84,434,249.469026548673
"57",57,372,91,188.815795525175,34,383,234.868131868132
"58",58,338,63,18.2251802202453,330,344,336.936507936508
"59",59,280,43,17.2432598737651,269,284,278.162790697674
"60",60,217.5,58,15.0859706143453,214,223,218.465517241379
"61",61,179,114,927.903580219482,168,1993,970.087719298246
"62",62,1930,133,934.310706722494,115,1939,1034.13533834586
"63",63,54,129,904.114629057497,46,63,729.31007751938
"64",64,1837,73,662.183134068016,1825,1843,1563.47945205479
"65",65,1779,61,16.7398774567725,1774,1785,1780.09836065574
"66",66,1721.5,64,16.0600235105286,1720,1727,1722.390625
"67",67,1665,72,18.1078321100172,1654,1671,1662.27777777778
"68",68,1598.5,60,16.0419999598512,1592,1604,1599.1
"69",69,1542,59,16.2816746101934,1536,1549,1541.89830508475
"70",70,1480,65,16.1476361689925,1475,1487,1479.93846153846
"71",71,1419,59,17.785165115573,1413,1430,1422.28813559322
"72",72,1363.5,64,15.8384390264208,1356,1369,1362.53125
"73",73,1298,63,16.4077429800049,1291,1304,1298.30158730159
"74",74,1246,69,16.5727233041302,1240,1251,1244.14492753623
"75",75,1180,69,19.2799848952692,1169,1189,1178.75362318841
"76",76,1128,50,16.6359458365778,1117,1135,1124.98
"77",77,1057,53,18.7948592545323,1044,1065,1056.05660377358
"78",78,996.5,56,16.3187307725195,992,1000,996.660714285714
"79",79,942,63,19.5987397318894,932,953,940.285714285714
"80",80,880,51,18.8926378440355,870,889,879.705882352941
"81",81,818,54,18.7444098351984,808,826,817.925925925926
"82",82,761,43,18.612442997361,751,774,762.651162790698
"83",83,696.5,60,16.1867194639819,691,702,697.916666666667
"84",84,641,65,18.4641284240968,635,648,640.169230769231
"85",85,575,50,16.5755659859657,569,587,578.16
"86",86,525,63,18.5234936140082,516,533,523.095238095238
"87",87,458,49,19.719913792915,446,470,459.142857142857
"88",88,405,75,17.1510722486753,398,410,403.386666666667
"89",89,358,81,94.7538591676376,349,364,409.864197530864
"90",90,468,133,108.155296332901,301,480,398.007518796992
"91",91,409,119,108.402964996863,244,418,332.756302521008
"92",92,344,113,107.893676153806,178,352,268.601769911504
"93",93,285,108,107.541674487015,120,294,210.324074074074
"94",94,66.5,122,106.611207667511,59,229,141.868852459016
"95",95,185.5,84,72.169157285776,178,193,160.785714285714
"96",96,133,71,17.9316049122316,124,141,132.169014084507
"97",97,69.5,52,18.3269596764,64,76,72.25
"98",98,27.5,52,12.3193277862095,23,32,25.1346153846154
"99",99,NA,1,NA,NA,NA,NA
"100",100,NA,1,NA,NA,NA,NA
"101",101,NA,1,NA,NA,NA,NA
"102",102,NA,1,NA,NA,NA,NA
"103",103,NA,1,NA,NA,NA,NA
"104",104,NA,1,NA,NA,NA,NA
"105",105,NA,1,NA,NA,NA,NA
"106",106,NA,1,NA,NA,NA,NA
"107",107,NA,1,NA,NA,NA,NA
"108",108,NA,1,NA,NA,NA,NA
"109",109,NA,1,NA,NA,NA,NA
"110",110,NA,1,NA,NA,NA,NA
"111",111,NA,1,NA,NA,NA,NA
"112",112,NA,1,NA,NA,NA,NA
"113",113,NA,1,NA,NA,NA,NA
"114",114,NA,1,NA,NA,NA,NA
"115",115,NA,1,NA,NA,NA,NA
"116",116,NA,1,NA,NA,NA,NA
"117",117,NA,1,NA,NA,NA,NA
"118",118,NA,1,NA,NA,NA,NA
"119",119,NA,1,NA,NA,NA,NA
"120",120,NA,1,NA,NA,NA,NA
"121",121,NA,1,NA,NA,NA,NA
"122",122,NA,1,NA,NA,NA,NA
"123",123,NA,1,NA,NA,NA,NA
"124",124,NA,1,NA,NA,NA,NA
"125",125,NA,1,NA,NA,NA,NA
"126",126,NA,1,NA,NA,NA,NA
"127",127,NA,1,NA,NA,NA,NA
"128",128,NA,1,NA,NA,NA,NA
"129",129,NA,1,NA,NA,NA,NA
"130",130,NA,1,NA,NA,NA,NA
"131",131,NA,1,NA,NA,NA,NA
"132",132,NA,1,NA,NA,NA,NA
"133",133,NA,1,NA,NA,NA,NA
"134",134,NA,1,NA,NA,NA,NA
"135",135,NA,1,NA,NA,NA,NA
"136",136,NA,1,NA,NA,NA,NA
"137",137,NA,1,NA,NA,NA,NA
"138",138,NA,1,NA,NA,NA,NA
"139",139,NA,1,NA,NA,NA,NA
"140",140,NA,1,NA,NA,NA,NA
"141",141,NA,1,NA,NA,NA,NA
